[  4] Received message from   1: 1|0
[ 53] Received message from   1: 1|0
[ 53] Received message from   4: 1|0,1
[ 64] Received message from   1: 1|0
[  4] Received message from  53: 1|0,1
[ 64] Received message from   4: 1|0,1
[ 34] Received message from  53: 1|0,1
[102] Received message from   1: 1|0
[  4] Received message from  64: 1|0,1
[  1] Sent Broadcast: 1|0
[ 78] Received message from   4: 1|0,1
[ 64] Received message from  53: 1|0,1
[102] Received message from   4: 1|0,1
[ 34] Received message from  64: 1|0,1
[  4] Sent Broadcast: 1|0,1
[  4] Received message from 102: 1|0,1
[ 16] Received message from  78: 1|0,1,4
[ 64] Received message from  34: 1|0,1,53
[ 53] Received message from  64: 1|0,1
[ 34] Received message from 102: 1|0,1
[102] Received message from  78: 1|0,1,4
[ 86] Received message from  53: 1|0,1
[ 86] Received message from  34: 1|0,1,53
[ 53] Received message from 102: 1|0,1
[111] Received message from  16: 1|0,1,4,78
[102] Received message from  64: 1|0,1
[111] Received message from  78: 1|0,1,4
[ 64] Received message from 102: 1|0,1
[102] Received message from  53: 1|0,1
[ 34] Received message from 111: 1|0,1,4,78,16
[ 10] Received message from  86: 1|0,1,53
[111] Received message from  64: 1|0,1
[ 64] Sent Broadcast: 1|0,1
[ 78] Received message from 102: 1|0,1
[102] Received message from  34: 1|0,1,53
[114] Received message from  16: 1|0,1,4,78
[111] Received message from  53: 1|0,1
[ 53] Sent Broadcast: 1|0,1
[ 35] Received message from 111: 1|0,1,4,78,16
[ 34] Received message from  86: 1|0,1,53
[114] Received message from  78: 1|0,1,4
[116] Received message from  16: 1|0,1,4,78
[ 15] Received message from  10: 1|0,1,53,86
[ 51] Received message from 111: 1|0,1,4,78,16
[111] Received message from 102: 1|0,1
[102] Sent Broadcast: 1|0,1
[ 35] Received message from 114: 1|0,1,4,78,16
[111] Received message from  34: 1|0,1,53
[116] Received message from  78: 1|0,1,4
[ 34] Sent Broadcast: 1|0,1,53
[ 52] Received message from 116: 1|0,1,4,78,16
[ 53] Received message from 111: 1|0,1,4,78,16
[128] Received message from  16: 1|0,1,4,78
[ 32] Received message from  10: 1|0,1,53,86
[ 51] Received message from  86: 1|0,1,53
[128] Received message from  78: 1|0,1,4
[ 14] Received message from  15: 1|0,1,53,86,10
[114] Received message from 116: 1|0,1,4,78,16
[ 10] Received message from  51: 1|1,4,78,16,111
[ 35] Received message from  52: 1|1,4,78,16,116
[ 64] Received message from 111: 1|0,1,4,78,16
[111] Received message from  86: 1|0,1,53
[142] Received message from  16: 1|0,1,4,78
[ 51] Received message from  35: 1|1,4,78,16,111
[ 32] Received message from  15: 1|0,1,53,86,10
[128] Received message from 116: 1|0,1,4,78,16
[ 15] Received message from  32: 1|0,1,53,86,10
[ 67] Received message from  52: 1|1,4,78,16,116
[142] Received message from  78: 1|0,1,4
[ 32] Received message from  51: 1|1,4,78,16,111
[ 52] Received message from  35: 1|1,4,78,16,111
[116] Received message from 128: 1|0,1,4,78,16
[ 86] Received message from 111: 1|0,1,4,78,16
[ 78] Sent Broadcast: 1|0,1,4
[113] Received message from  86: 1|0,1,53
[ 51] Received message from 114: 1|0,1,4,78,16
[ 59] Received message from  15: 1|0,1,53,86,10
[147] Received message from  16: 1|0,1,4,78
[ 63] Received message from  35: 1|1,4,78,16,111
[142] Received message from 116: 1|0,1,4,78,16
[ 43] Received message from  32: 1|0,1,53,86,10
[ 16] Sent Broadcast: 1|0,1,4,78
[ 52] Received message from 142: 1|0,1,4,78,16
[114] Received message from  52: 1|1,4,78,16,116
[ 24] Received message from  14: 1|1,53,86,10,15
[102] Received message from 111: 1|0,1,4,78,16
[ 51] Received message from  10: 1|0,1,53,86
[115] Received message from  86: 1|0,1,53
[ 35] Received message from  51: 1|1,4,78,16,111
[ 86] Sent Broadcast: 1|0,1,53
[147] Received message from 116: 1|0,1,4,78,16
[111] Received message from 142: 1|0,1,4,78,16
[ 43] Received message from  67: 1|4,78,16,116,52
[142] Received message from 128: 1|0,1,4,78,16
[ 52] Received message from 114: 1|0,1,4,78,16
[115] Received message from  59: 1|1,53,86,10,15
[ 51] Received message from  32: 1|0,1,53,86,10
[ 10] Received message from 113: 1|0,1,53,86
[ 59] Received message from  10: 1|0,1,53,86
[127] Received message from  52: 1|1,4,78,16,116
[ 76] Received message from  35: 1|1,4,78,16,111
[  7] Received message from  24: 1|53,86,10,15,14
[114] Received message from 111: 1|0,1,4,78,16
[ 63] Received message from  51: 1|1,4,78,16,111
[ 61] Received message from  15: 1|0,1,53,86,10
[ 10] Received message from  63: 1|4,78,16,111,35
[  3] Received message from 147: 1|0,1,4,78,16
[150] Received message from 116: 1|0,1,4,78,16
[ 32] Received message from 113: 1|0,1,53,86
[ 61] Received message from  14: 1|1,53,86,10,15
[ 63] Received message from  43: 1|1,53,86,10,32
[ 76] Received message from 114: 1|0,1,4,78,16
[147] Received message from 128: 1|0,1,4,78,16
[114] Received message from 142: 1|0,1,4,78,16
[ 67] Received message from 127: 1|4,78,16,116,52
[128] Sent Broadcast: 1|0,1,4,78,16
[ 19] Received message from   7: 1|86,10,15,14,24
[116] Sent Broadcast: 1|0,1,4,78,16
[ 10] Received message from 115: 1|0,1,53,86
[141] Received message from  52: 1|1,4,78,16,116
[ 13] Received message from  61: 1|1,53,86,10,15
[120] Received message from  59: 1|1,53,86,10,15
[ 32] Received message from  76: 1|4,78,16,111,35
[ 59] Sent Broadcast: 1|1,53,86,10,15
[111] Received message from 114: 1|0,1,4,78,16
[116] Received message from 147: 1|0,1,4,78,16
[ 19] Received message from  24: 1|53,86,10,15,14
[ 15] Received message from  63: 1|4,78,16,111,35
[ 63] Received message from  32: 1|0,1,53,86,10
[127] Received message from  67: 1|4,78,16,116,52
[ 51] Received message from 113: 1|0,1,53,86
[ 76] Received message from  51: 1|1,4,78,16,111
[ 66] Received message from  14: 1|1,53,86,10,15
[114] Received message from  35: 1|1,4,78,16,111
[ 36] Received message from   7: 1|86,10,15,14,24
[142] Received message from 111: 1|0,1,4,78,16
[ 67] Received message from  43: 1|1,53,86,10,32
[ 13] Received message from  19: 1|10,15,14,24,7
[ 14] Received message from  61: 1|1,53,86,10,15
[136] Received message from   3: 1|1,4,78,16,147
[ 63] Received message from  10: 1|0,1,53,86
[ 15] Received message from 115: 1|0,1,53,86
[ 51] Received message from  76: 1|4,78,16,111,35
[116] Received message from 142: 1|0,1,4,78,16
[111] Sent Broadcast: 1|0,1,4,78,16
[137] Received message from 127: 1|4,78,16,116,52
[142] Received message from  52: 1|1,4,78,16,116
[ 32] Received message from  63: 1|4,78,16,111,35
[  5] Received message from  13: 1|53,86,10,15,61
[ 88] Received message from  14: 1|1,53,86,10,15
[ 14] Received message from 120: 1|53,86,10,15,59
[ 38] Received message from  24: 1|53,86,10,15,14
[ 86] Received message from  51: 1|1,4,78,16,111
[140] Received message from   3: 1|1,4,78,16,147
[128] Received message from 147: 1|0,1,4,78,16
[ 29] Received message from  36: 1|10,15,14,24,7
[ 63] Received message from  15: 1|0,1,53,86,10
[ 76] Received message from  32: 1|0,1,53,86,10
