Algo,Nodes,Network Filename,Sent Messages,Received Messages
wbs,5,1.0-0,5,6
wbs,5,1.0-1,5,8
wbs,5,1.0-2,5,8
wbs,5,1.0-3,5,8
wbs,5,1.0-4,5,6
wbs,5,2.0-0,5,10
wbs,5,2.0-1,5,10
wbs,5,2.0-2,5,8
wbs,5,2.0-3,5,6
wbs,5,2.0-4,5,6
wbs,5,3.0-0,5,20
wbs,5,3.0-1,5,14
wbs,5,3.0-2,5,12
wbs,5,3.0-3,5,14
wbs,5,3.0-4,5,16
wbs,5,4.0-0,5,14
wbs,5,4.0-1,5,16
wbs,5,4.0-2,5,14
wbs,5,4.0-3,5,14
wbs,5,4.0-4,5,20
wbs,5,5.0-0,5,20
wbs,5,5.0-1,5,20
wbs,5,5.0-2,5,20
wbs,5,5.0-3,5,20
wbs,5,5.0-4,5,18
wbs,50,11.0-0,50,322
wbs,50,11.0-1,50,310
wbs,50,11.0-2,50,300
wbs,50,11.0-3,50,288
wbs,50,11.0-4,50,334
wbs,50,13.5-0,50,464
wbs,50,13.5-1,50,378
wbs,50,13.5-2,50,444
wbs,50,13.5-3,50,414
wbs,50,13.5-4,50,472
wbs,50,15.0-0,50,534
wbs,50,15.0-1,50,524
wbs,50,15.0-2,50,544
wbs,50,15.0-3,50,514
wbs,50,15.0-4,50,500
wbs,50,8.0-0,50,180
wbs,50,8.0-1,50,186
wbs,50,8.0-2,50,182
wbs,50,8.0-3,50,150
wbs,50,8.0-4,50,156
wbs,50,9.0-0,50,214
wbs,50,9.0-1,50,214
wbs,50,9.0-2,50,228
wbs,50,9.0-3,50,172
wbs,50,9.0-4,50,214
wbs,100,11.0-0,100,368
wbs,100,11.0-1,100,368
wbs,100,11.0-2,100,362
wbs,100,11.0-3,100,370
wbs,100,11.0-4,100,336
wbs,100,12.0-0,100,356
wbs,100,12.0-1,100,404
wbs,100,12.0-2,100,396
wbs,100,12.0-3,100,376
wbs,100,12.0-4,100,448
wbs,100,15.0-0,100,616
wbs,100,15.0-1,100,596
wbs,100,15.0-2,100,606
wbs,100,15.0-3,100,602
wbs,100,15.0-4,100,612
wbs,100,18.0-0,100,902
wbs,100,18.0-1,100,902
wbs,100,18.0-2,100,880
wbs,100,18.0-3,100,924
wbs,100,18.0-4,100,860
wbs,100,20.0-0,100,914
wbs,100,20.0-1,100,1064
wbs,100,20.0-2,100,1030
wbs,100,20.0-3,100,1090
wbs,100,20.0-4,100,1090
wbs,150,13.5-0,150,524
wbs,150,13.5-1,150,586
wbs,150,13.5-2,150,490
wbs,150,13.5-3,150,504
wbs,150,13.5-4,150,446
wbs,150,15.0-0,150,618
wbs,150,15.0-1,150,600
wbs,150,15.0-2,150,638
wbs,150,15.0-3,150,636
wbs,150,15.0-4,150,662
wbs,150,18.0-0,150,992
wbs,150,18.0-1,150,916
wbs,150,18.0-2,150,900
wbs,150,18.0-3,150,946
wbs,150,18.0-4,150,844
wbs,150,22.0-0,150,1322
wbs,150,22.0-1,150,1320
wbs,150,22.0-2,150,1360
wbs,150,22.0-3,150,1300
wbs,150,22.0-4,150,1324
wbs,150,24.0-0,150,1542
wbs,150,24.0-1,150,1616
wbs,150,24.0-2,150,1574
wbs,150,24.0-3,150,1540
wbs,150,24.0-4,150,1532
wbs,200,16.0-0,200,700
wbs,200,16.0-1,200,736
wbs,200,16.0-2,200,714
wbs,200,16.0-3,200,678
wbs,200,16.0-4,200,696
wbs,200,17.0-0,200,772
wbs,200,17.0-1,200,836
wbs,200,17.0-2,200,818
wbs,200,17.0-3,200,774
wbs,200,17.0-4,200,826
wbs,200,21.0-0,200,1192
wbs,200,21.0-1,200,1242
wbs,200,21.0-2,200,1288
wbs,200,21.0-3,200,1180
wbs,200,21.0-4,200,1302
wbs,200,25.0-0,200,1814
wbs,200,25.0-1,200,1738
wbs,200,25.0-2,200,1798
wbs,200,25.0-3,200,1698
wbs,200,25.0-4,200,1762
wbs,200,27.5-0,200,2050
wbs,200,27.5-1,200,1994
wbs,200,27.5-2,200,2072
wbs,200,27.5-3,200,2156
wbs,200,27.5-4,200,2136
