[ 90] Received message from   1: 1|0,90
[  1] Sent Broadcast: 1|0,90
[ 41] Received message from  90: 1|0,90,1,41
[ 90] Sent Broadcast: 1|0,90,1,41
[ 54] Received message from  41: 1|0,90,1,41,54
[ 41] Sent Broadcast: 1|0,90,1,41,54
[ 63] Received message from  54: 1|0,90,1,41,54,63,126,128,145
[ 47] Received message from  63: 1|0,90,1,41,54,63,126,128,145,47
[126] Received message from  54: 1|0,90,1,41,54,63,126,128,145
[ 63] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,47
[128] Received message from  54: 1|0,90,1,41,54,63,126,128,145
[ 57] Received message from  47: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147
[ 25] Received message from 128: 1|0,90,1,41,54,63,126,128,145,25,76
[145] Received message from  54: 1|0,90,1,41,54,63,126,128,145
[ 54] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145
[ 76] Received message from 128: 1|0,90,1,41,54,63,126,128,145,25,76
[ 91] Received message from  47: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147
[ 88] Received message from  25: 1|0,90,1,41,54,63,126,128,145,25,76,88
[128] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76
[ 25] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76,88
[ 47] Received message from 145: 1|0,90,1,41,54,63,126,128,145,47
[145] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,47
[122] Received message from  47: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147
[ 81] Received message from  88: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147
[147] Received message from  47: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147
[ 47] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147
[144] Received message from  88: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147
[ 81] Received message from 147: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147,81,88
[147] Received message from  88: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147
[ 88] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147
[ 28] Received message from 144: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105
[ 88] Received message from 147: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147,81,88
[147] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,47,57,91,122,147,81,88
[140] Received message from  28: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105,140
[105] Received message from 144: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105
[ 28] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105,140
[144] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105
[ 31] Received message from 140: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105,140,31
[140] Received message from 105: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105,140
[140] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105,140,31
[105] Sent Broadcast: 1|0,90,1,41,54,63,126,128,145,25,76,88,81,144,147,28,105,140
