[131] Received message from   1: 1|0,131
[  1] Sent Broadcast: 1|0,131
[  9] Received message from   2: 2|0,9,32,38,148
[ 32] Received message from   2: 2|0,9,32,38,148
[ 38] Received message from   2: 2|0,9,32,38,148
[148] Received message from   2: 2|0,9,32,38,148
[  2] Sent Broadcast: 2|0,9,32,38,148
[115] Received message from 148: 2|0,9,32,38,148,2,115
[148] Sent Broadcast: 2|0,9,32,38,148,2,115
[ 46] Received message from 115: 2|0,9,32,38,148,2,115,46
[115] Sent Broadcast: 2|0,9,32,38,148,2,115,46
[122] Received message from  46: 2|0,9,32,38,148,2,115,46,122
[ 46] Sent Broadcast: 2|0,9,32,38,148,2,115,46,122
[ 41] Received message from 122: 2|0,9,32,38,148,2,115,46,122,41,61
[ 61] Received message from 122: 2|0,9,32,38,148,2,115,46,122,41,61
[122] Sent Broadcast: 2|0,9,32,38,148,2,115,46,122,41,61
[ 44] Received message from   3: 3|0,44,52,67,142
[ 52] Received message from   3: 3|0,44,52,67,142
[ 21] Received message from  44: 3|0,44,52,67,142,3,21,28,116
[ 67] Received message from   3: 3|0,44,52,67,142
[ 21] Received message from  52: 3|0,44,52,67,142,3,21,28,85,137
[ 28] Received message from  44: 3|0,44,52,67,142,3,21,28,116
[142] Received message from   3: 3|0,44,52,67,142
[ 85] Received message from  21: 3|0,44,52,67,142,3,21,28,116,85,104
[  3] Sent Broadcast: 3|0,44,52,67,142
[116] Received message from  44: 3|0,44,52,67,142,3,21,28,116
[ 44] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116
[ 28] Received message from  52: 3|0,44,52,67,142,3,21,28,85,137
[104] Received message from  21: 3|0,44,52,67,142,3,21,28,116,85,104
[137] Received message from  28: 3|0,44,52,67,142,3,21,28,116,137,143
[ 21] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,85,104
[ 28] Received message from  67: 3|0,44,52,67,142,3,28,137,143
[ 85] Received message from  52: 3|0,44,52,67,142,3,21,28,85,137
[143] Received message from  28: 3|0,44,52,67,142,3,21,28,116,137,143
[137] Received message from  67: 3|0,44,52,67,142,3,28,137,143
[ 11] Received message from 104: 3|0,44,52,67,142,3,21,28,116,85,104,11,105
[ 28] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143
[ 21] Received message from 142: 3|0,44,52,67,142,3,21,28,85,116
[ 37] Received message from 137: 3|0,44,52,67,142,3,21,28,116,137,143,37,80
[137] Received message from  52: 3|0,44,52,67,142,3,21,28,85,137
[ 11] Received message from 116: 3|0,44,52,67,142,3,21,28,116,11,85,104,105
[ 17] Received message from  85: 3|0,44,52,67,142,3,21,28,116,85,104,17,62,72,134
[143] Received message from  67: 3|0,44,52,67,142,3,28,137,143
[ 52] Sent Broadcast: 3|0,44,52,67,142,3,21,28,85,137
[ 62] Received message from  85: 3|0,44,52,67,142,3,21,28,116,85,104,17,62,72,134
[ 18] Received message from  11: 3|0,44,52,67,142,3,21,28,116,85,104,11,105,18
[ 67] Sent Broadcast: 3|0,44,52,67,142,3,28,137,143
[ 28] Received message from 142: 3|0,44,52,67,142,3,21,28,85,116
[105] Received message from 104: 3|0,44,52,67,142,3,21,28,116,85,104,11,105
[ 11] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,85,104,11,105,18
[ 35] Received message from 143: 3|0,44,52,67,142,3,21,28,116,137,143,35,37
[104] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,85,104,11,105
[ 80] Received message from 137: 3|0,44,52,67,142,3,21,28,116,137,143,37,80
[ 85] Received message from 116: 3|0,44,52,67,142,3,21,28,116,11,85,104,105
[137] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80
[ 72] Received message from  85: 3|0,44,52,67,142,3,21,28,116,85,104,17,62,72,134
[ 35] Received message from  37: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43
[134] Received message from  85: 3|0,44,52,67,142,3,21,28,116,85,104,17,62,72,134
[ 85] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,85,104,17,62,72,134
[ 43] Received message from  37: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43
[ 37] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43
[ 18] Received message from 105: 3|0,44,52,67,142,3,21,28,116,85,104,11,105,18
[104] Received message from 116: 3|0,44,52,67,142,3,21,28,116,11,85,104,105
[105] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,85,104,11,105,18
[ 43] Received message from  35: 3|0,44,52,67,142,3,21,28,116,137,143,35,37,43
[105] Received message from 116: 3|0,44,52,67,142,3,21,28,116,11,85,104,105
[ 37] Received message from 143: 3|0,44,52,67,142,3,21,28,116,137,143,35,37
[116] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,11,85,104,105
[ 85] Received message from 142: 3|0,44,52,67,142,3,21,28,85,116
[ 35] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,35,37,43
[143] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,35,37
[ 89] Received message from  43: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89
[ 43] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89
[116] Received message from 142: 3|0,44,52,67,142,3,21,28,85,116
[142] Sent Broadcast: 3|0,44,52,67,142,3,21,28,85,116
[ 36] Received message from  89: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141
[ 68] Received message from  89: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141
[ 74] Received message from  68: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149
[ 56] Received message from  36: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144
[ 95] Received message from  89: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141
[129] Received message from  68: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149
[ 12] Received message from  56: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144,12
[141] Received message from  89: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141
[129] Received message from  36: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144
[ 56] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144,12
[ 89] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141
[140] Received message from  68: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149
