Algo,Nodes,Network Filename,History Length,Sent Messages,Received Messages
my-approach,5,1.0-0,30,3,3
my-approach,5,1.0-1,30,2,3
my-approach,5,1.0-2,30,2,3
my-approach,5,1.0-3,30,2,3
my-approach,5,1.0-4,30,3,3
my-approach,5,2.0-0,30,3,4
my-approach,5,2.0-1,30,3,4
my-approach,5,2.0-2,30,2,3
my-approach,5,2.0-3,30,3,3
my-approach,5,2.0-4,30,3,3
my-approach,5,3.0-0,30,1,4
my-approach,5,3.0-1,30,3,5
my-approach,5,3.0-2,30,3,5
my-approach,5,3.0-3,30,4,6
my-approach,5,3.0-4,30,3,6
my-approach,5,4.0-0,30,1,4
my-approach,5,4.0-1,30,1,4
my-approach,5,4.0-2,30,1,4
my-approach,5,4.0-3,30,3,5
my-approach,5,4.0-4,30,1,4
my-approach,5,5.0-0,30,1,4
my-approach,5,5.0-1,30,1,4
my-approach,5,5.0-2,30,1,4
my-approach,5,5.0-3,30,1,4
my-approach,5,5.0-4,30,1,4
my-approach,50,11.0-0,30,36,113
my-approach,50,11.0-1,30,39,118
my-approach,50,11.0-2,30,40,117
my-approach,50,11.0-3,30,35,89
my-approach,50,11.0-4,30,38,120
my-approach,50,13.5-0,30,43,152
my-approach,50,13.5-1,30,42,135
my-approach,50,13.5-2,30,43,150
my-approach,50,13.5-3,30,38,123
my-approach,50,13.5-4,30,39,117
my-approach,50,15.0-0,30,43,220
my-approach,50,15.0-1,30,41,195
my-approach,50,15.0-2,30,44,198
my-approach,50,15.0-3,30,44,190
my-approach,50,15.0-4,30,42,192
my-approach,50,8.0-0,30,30,69
my-approach,50,8.0-1,30,31,62
my-approach,50,8.0-2,30,27,52
my-approach,50,8.0-3,30,30,54
my-approach,50,8.0-4,30,26,48
my-approach,50,9.0-0,30,34,77
my-approach,50,9.0-1,30,30,67
my-approach,50,9.0-2,30,37,78
my-approach,50,9.0-3,30,32,66
my-approach,50,9.0-4,30,28,60
my-approach,100,11.0-0,30,62,121
my-approach,100,11.0-1,30,71,151
my-approach,100,11.0-2,30,69,127
my-approach,100,11.0-3,30,70,130
my-approach,100,11.0-4,30,70,126
my-approach,100,12.0-0,30,66,129
my-approach,100,12.0-1,30,66,151
my-approach,100,12.0-2,30,69,140
my-approach,100,12.0-3,30,77,145
my-approach,100,12.0-4,30,65,160
my-approach,100,15.0-0,30,86,262
my-approach,100,15.0-1,30,81,232
my-approach,100,15.0-2,30,86,244
my-approach,100,15.0-3,30,82,226
my-approach,100,15.0-4,30,78,222
my-approach,100,18.0-0,30,87,393
my-approach,100,18.0-1,30,86,370
my-approach,100,18.0-2,30,91,368
my-approach,100,18.0-3,30,84,340
my-approach,100,18.0-4,30,86,354
my-approach,100,20.0-0,30,89,345
my-approach,100,20.0-1,30,92,417
my-approach,100,20.0-2,30,86,372
my-approach,100,20.0-3,30,94,458
my-approach,100,20.0-4,30,88,428
my-approach,150,13.5-0,30,88,176
my-approach,150,13.5-1,30,114,228
my-approach,150,13.5-2,30,95,175
my-approach,150,13.5-3,30,98,174
my-approach,150,13.5-4,30,94,169
my-approach,150,15.0-0,30,111,231
my-approach,150,15.0-1,30,114,240
my-approach,150,15.0-2,30,110,232
my-approach,150,15.0-3,30,107,228
my-approach,150,15.0-4,30,92,222
my-approach,150,18.0-0,30,125,369
my-approach,150,18.0-1,30,123,344
my-approach,150,18.0-2,30,121,348
my-approach,150,18.0-3,30,121,339
my-approach,150,18.0-4,30,126,337
my-approach,150,22.0-0,30,130,560
my-approach,150,22.0-1,30,134,535
my-approach,150,22.0-2,30,131,502
my-approach,150,22.0-3,30,138,520
my-approach,150,22.0-4,30,135,535
my-approach,150,24.0-0,30,136,680
my-approach,150,24.0-1,30,135,676
my-approach,150,24.0-2,30,129,613
my-approach,150,24.0-3,30,135,592
my-approach,150,24.0-4,30,140,627
my-approach,200,16.0-0,30,144,268
my-approach,200,16.0-1,30,134,276
my-approach,200,16.0-2,30,144,272
my-approach,200,16.0-3,30,129,244
my-approach,200,16.0-4,30,137,271
my-approach,200,17.0-0,30,139,282
my-approach,200,17.0-1,30,145,309
my-approach,200,17.0-2,30,135,308
my-approach,200,17.0-3,30,126,279
my-approach,200,17.0-4,30,134,289
my-approach,200,21.0-0,30,160,460
my-approach,200,21.0-1,30,167,525
my-approach,200,21.0-2,30,167,502
my-approach,200,21.0-3,30,152,413
my-approach,200,21.0-4,30,170,535
my-approach,200,25.0-0,30,176,692
my-approach,200,25.0-1,30,171,729
my-approach,200,25.0-2,30,185,740
my-approach,200,25.0-3,30,180,703
my-approach,200,25.0-4,30,184,711
my-approach,200,27.5-0,30,180,808
my-approach,200,27.5-1,30,187,845
my-approach,200,27.5-2,30,188,847
my-approach,200,27.5-3,30,187,911
my-approach,200,27.5-4,30,185,897
