[  3] Received message from   1: 1|0
[ 16] Received message from   1: 1|0
[ 16] Received message from   3: 1|0,1
[ 37] Received message from   1: 1|0
[  1] Sent Broadcast: 1|0
[  3] Received message from  16: 1|0,1
[ 31] Received message from   3: 1|0,1
[  3] Received message from  37: 1|0,1
[ 37] Received message from  16: 1|0,1
[ 37] Received message from   3: 1|0,1
[ 63] Received message from  31: 1|0,1,3
[ 16] Received message from  37: 1|0,1
[ 71] Received message from  31: 1|0,1,3
[ 31] Sent Broadcast: 1|0,1,3
[ 63] Received message from  16: 1|0,1
[ 76] Received message from  37: 1|0,1
[ 37] Sent Broadcast: 1|0,1
[ 16] Received message from  63: 1|0,1,3,31
[ 71] Received message from  16: 1|0,1
[ 16] Sent Broadcast: 1|0,1
[ 10] Received message from  71: 1|0,1,3,31
[ 63] Received message from   3: 1|0,1
[ 71] Received message from  63: 1|0,1,3,31
[ 63] Sent Broadcast: 1|0,1,3,31
[ 16] Received message from  71: 1|0,1,3,31
[  9] Received message from  10: 1|0,1,3,31,71
[ 71] Received message from   3: 1|0,1
[  3] Sent Broadcast: 1|0,1
[ 24] Received message from  10: 1|0,1,3,31,71
[ 63] Received message from  71: 1|0,1,3,31
[ 71] Sent Broadcast: 1|0,1,3,31
[ 18] Received message from   9: 1|1,3,31,71,10
[ 26] Received message from   9: 1|1,3,31,71,10
[ 98] Received message from  10: 1|0,1,3,31,71
[ 10] Sent Broadcast: 1|0,1,3,31,71
[ 21] Received message from  18: 1|3,31,71,10,9
[ 69] Received message from   9: 1|1,3,31,71,10
[ 21] Received message from  24: 1|1,3,31,71,10
[ 18] Received message from  26: 1|3,31,71,10,9
[ 26] Received message from  18: 1|3,31,71,10,9
[ 98] Received message from   9: 1|1,3,31,71,10
[  9] Received message from  98: 1|1,3,31,71,10
[  9] Sent Broadcast: 1|1,3,31,71,10
[ 26] Received message from  24: 1|1,3,31,71,10
[ 21] Received message from  26: 1|3,31,71,10,9
[ 69] Received message from  18: 1|3,31,71,10,9
[ 24] Received message from  21: 1|31,71,10,9,18
[ 18] Received message from  69: 1|3,31,71,10,9
[ 57] Received message from  24: 1|1,3,31,71,10
[ 99] Received message from  18: 1|3,31,71,10,9
[ 21] Received message from  98: 1|1,3,31,71,10
[ 24] Received message from  26: 1|3,31,71,10,9
[ 18] Sent Broadcast: 1|3,31,71,10,9
[ 98] Received message from  24: 1|1,3,31,71,10
[ 21] Received message from  69: 1|3,31,71,10,9
[ 24] Sent Broadcast: 1|1,3,31,71,10
[ 26] Received message from  21: 1|31,71,10,9,18
[ 24] Received message from  98: 1|1,3,31,71,10
[ 57] Received message from  26: 1|3,31,71,10,9
[ 26] Received message from  69: 1|3,31,71,10,9
[ 21] Received message from  57: 1|3,31,71,10,24
[ 69] Received message from  99: 1|31,71,10,9,18
[ 99] Sent Broadcast: 1|31,71,10,9,18
[ 57] Received message from  21: 1|31,71,10,9,18
