Algo,Nodes,Network Filename,Sent Messages,Received Messages
wbs-modified,5,1.0-0,3,3
wbs-modified,5,1.0-1,4,5
wbs-modified,5,1.0-2,4,5
wbs-modified,5,1.0-3,4,5
wbs-modified,5,1.0-4,3,3
wbs-modified,5,2.0-0,5,6
wbs-modified,5,2.0-1,4,6
wbs-modified,5,2.0-2,4,5
wbs-modified,5,2.0-3,3,3
wbs-modified,5,2.0-4,3,3
wbs-modified,5,3.0-0,5,16
wbs-modified,5,3.0-1,5,10
wbs-modified,5,3.0-2,4,8
wbs-modified,5,3.0-3,5,10
wbs-modified,5,3.0-4,5,12
wbs-modified,5,4.0-0,4,10
wbs-modified,5,4.0-1,5,12
wbs-modified,5,4.0-2,4,10
wbs-modified,5,4.0-3,5,10
wbs-modified,5,4.0-4,5,16
wbs-modified,5,5.0-0,5,16
wbs-modified,5,5.0-1,5,16
wbs-modified,5,5.0-2,5,16
wbs-modified,5,5.0-3,5,16
wbs-modified,5,5.0-4,5,14
wbs-modified,50,11.0-0,49,273
wbs-modified,50,11.0-1,46,261
wbs-modified,50,11.0-2,50,251
wbs-modified,50,11.0-3,49,240
wbs-modified,50,11.0-4,49,285
wbs-modified,50,13.5-0,50,415
wbs-modified,50,13.5-1,50,329
wbs-modified,50,13.5-2,49,395
wbs-modified,50,13.5-3,49,365
wbs-modified,50,13.5-4,48,423
wbs-modified,50,15.0-0,50,485
wbs-modified,50,15.0-1,50,475
wbs-modified,50,15.0-2,50,495
wbs-modified,50,15.0-3,50,465
wbs-modified,50,15.0-4,50,451
wbs-modified,50,8.0-0,43,136
wbs-modified,50,8.0-1,46,138
wbs-modified,50,8.0-2,46,137
wbs-modified,50,8.0-3,42,104
wbs-modified,50,8.0-4,45,113
wbs-modified,50,9.0-0,46,166
wbs-modified,50,9.0-1,50,168
wbs-modified,50,9.0-2,45,179
wbs-modified,50,9.0-3,47,124
wbs-modified,50,9.0-4,47,168
wbs-modified,100,11.0-0,94,276
wbs-modified,100,11.0-1,90,276
wbs-modified,100,11.0-2,91,271
wbs-modified,100,11.0-3,90,278
wbs-modified,100,11.0-4,90,245
wbs-modified,100,12.0-0,90,262
wbs-modified,100,12.0-1,91,310
wbs-modified,100,12.0-2,92,301
wbs-modified,100,12.0-3,94,281
wbs-modified,100,12.0-4,94,354
wbs-modified,100,15.0-0,100,517
wbs-modified,100,15.0-1,98,499
wbs-modified,100,15.0-2,96,507
wbs-modified,100,15.0-3,100,504
wbs-modified,100,15.0-4,100,514
wbs-modified,100,18.0-0,99,803
wbs-modified,100,18.0-1,100,803
wbs-modified,100,18.0-2,100,781
wbs-modified,100,18.0-3,100,825
wbs-modified,100,18.0-4,100,761
wbs-modified,100,20.0-0,100,815
wbs-modified,100,20.0-1,100,965
wbs-modified,100,20.0-2,100,931
wbs-modified,100,20.0-3,100,991
wbs-modified,100,20.0-4,100,991
wbs-modified,150,13.5-0,131,389
wbs-modified,150,13.5-1,141,448
wbs-modified,150,13.5-2,137,357
wbs-modified,150,13.5-3,137,369
wbs-modified,150,13.5-4,134,310
wbs-modified,150,15.0-0,142,471
wbs-modified,150,15.0-1,142,454
wbs-modified,150,15.0-2,145,495
wbs-modified,150,15.0-3,146,492
wbs-modified,150,15.0-4,140,521
wbs-modified,150,18.0-0,145,843
wbs-modified,150,18.0-1,148,767
wbs-modified,150,18.0-2,148,751
wbs-modified,150,18.0-3,146,800
wbs-modified,150,18.0-4,148,695
wbs-modified,150,22.0-0,150,1174
wbs-modified,150,22.0-1,150,1171
wbs-modified,150,22.0-2,150,1211
wbs-modified,150,22.0-3,150,1151
wbs-modified,150,22.0-4,149,1175
wbs-modified,150,24.0-0,149,1393
wbs-modified,150,24.0-1,150,1467
wbs-modified,150,24.0-2,150,1425
wbs-modified,150,24.0-3,150,1391
wbs-modified,150,24.0-4,150,1383
wbs-modified,200,16.0-0,189,509
wbs-modified,200,16.0-1,183,554
wbs-modified,200,16.0-2,188,522
wbs-modified,200,16.0-3,178,495
wbs-modified,200,16.0-4,183,510
wbs-modified,200,17.0-0,186,585
wbs-modified,200,17.0-1,188,642
wbs-modified,200,17.0-2,190,628
wbs-modified,200,17.0-3,185,586
wbs-modified,200,17.0-4,188,639
wbs-modified,200,21.0-0,195,994
wbs-modified,200,21.0-1,196,1043
wbs-modified,200,21.0-2,200,1090
wbs-modified,200,21.0-3,195,982
wbs-modified,200,21.0-4,197,1103
wbs-modified,200,25.0-0,200,1615
wbs-modified,200,25.0-1,199,1539
wbs-modified,200,25.0-2,199,1599
wbs-modified,200,25.0-3,199,1499
wbs-modified,200,25.0-4,199,1564
wbs-modified,200,27.5-0,200,1851
wbs-modified,200,27.5-1,200,1795
wbs-modified,200,27.5-2,200,1873
wbs-modified,200,27.5-3,200,1957
wbs-modified,200,27.5-4,200,1937
